"poiId"	"title"	"avgScore"	"allCommentNum"	"address"	"avgPrice"
"1900565"	"苏蟹阁阳澄湖大闸蟹（澳门路店）"	"3.5"	"2"	"江岸区澳门路230号（金冠大厦旁边）"	"398"
"42788407"	"鑫小城故事（光谷店）"	"5"	"11230"	"洪山区珞雄路光谷意大利风情街3号楼4楼"	"41"
"5136959"	"舍得火锅（红钢城总店）"	"5"	"3745"	"青山区红钢城市政侧路52号（速8酒店对面）"	"59"
"501789398"	"大成醉串串（武汉科技大学店）"	"5"	"22"	"洪山区丽水南路东澜岸步行街3号（武汉科技大学南门斜对面）"	"45"
"740990"	"深巷家味馆（后湖店）"	"4.9"	"5030"	"江岸区兴业路190号香利国庭对面"	"42"
"6662454"	"麻辣小屋（汉商21世纪中心店）"	"5"	"17590"	"汉阳区汉阳大道577号汉商21世纪购物中心4层"	"34"
"4460141"	"小天鹅火锅（银泰创意城店）"	"4.1"	"3515"	"洪山区珞瑜路35号银泰创意城7层"	"79"
"42013159"	"海乐汇小海鲜（常青店）"	"5"	"12673"	"东西湖区金银潭大道永旺梦乐城一楼"	"50"
"40735703"	"三五醇欧洲花园酒店"	"5"	"6067"	"江汉区新华下路245号（北湖区委旁）"	"34"
"194645390"	"蟹逅良圆阳澄湖大闸蟹（江岸店）"	"4.6"	"6"	"江岸区解放大道1022附5号"	"100"
"5172474"	"禾帕自助餐厅（世贸广场店）"	"5"	"11088"	"江汉区解放大道686号世贸广场7层"	"75"
"5554797"	"亮亮烧烤（光谷软件园店）"	"5"	"14869"	"洪山区关山大道与软件园路交叉口西南角中建康城西区底商"	"52"
"195011741"	"玖·炭火烤肉"	"4.1"	"10"	"江岸区怡和路1号银泰御华园三期S1栋2F单元2层12、13、14室"	"74"
"2469846"	"墨记烤牛蛙（悦荟广场店）"	"5"	"17649"	"江汉区民生路176号悦荟广场B座1层b276室（地铁2号线江汉路站）"	"13"
"2410021"	"锅之恋焖锅烤鱼（江汉路店）"	"4.5"	"30056"	"江汉区江汉路步行街长盛广场2楼（中心百货斜对面，屈臣氏上面）"	"46"
"195011741"	"玖·炭火烤肉"	"4.1"	"10"	"江岸区怡和路1号银泰御华园三期S1栋2F单元2层12、13、14室"	"74"
"41272550"	"尚渔味烤鱼（金银潭永旺梦乐城店）"	"5"	"6738"	"东西湖区金银潭大道1号永旺梦乐城2层"	"68"
"746117"	"凯威啤酒屋（销品茂店）"	"4.3"	"13826"	"武昌区徐东大街18号销品茂5层（凯威啤酒屋旁）"	"72"
"194286160"	"鹿小町•烧肉小铺（光谷步行街二店）"	"5"	"58"	"洪山区光谷德意柏林风情街数码广场2楼"	"78"
"4483037"	"田师傅香辣虾蟹（前进二路店）"	"4.5"	"3206"	"江汉区江汉路步行街前进二路129号（近简朴寨）"	"49"
"5568574"	"李二鲜鱼村（民族店）"	"4.8"	"5389"	"洪山区民族大道中南财经政法大学旁（东山头车站背后）"	"30"
"522294440"	"麦可MICK烘焙坊（汉阳店）"	"3.5"	"0"	"汉阳区汉阳大道695号"	"50"
"4557254"	"跳跳蛙（司门口店）"	"4.5"	"3478"	"武昌区解放路司门口环球电影城前行50米"	"49"
"4955388"	"汤思福北京烤鸭（我家厨房）"	"4.7"	"14374"	"蔡甸区宁康路湘隆时代广场A区10栋2楼（宁康园车站对面，中国电信旁，招商银行楼上）"	"30"
"194913660"	"速度披萨（凯德1818店）"	"4.5"	"13"	"武昌区中北路109号凯德1818广场一楼"	"80"
"52735081"	"项姐烤猪蹄（澳门美食街）"	"4.5"	"4524"	"洪山区光谷步行街1期3楼澳门街美食城内B013"	"10"
"4239555"	"戈雅法餐厅（世界城广场店）"	"4.3"	"3393"	"洪山区珞喻路726号世界城广场2层（近省中医院）"	"199"
"182147812"	"苏蟹阁阳澄湖大闸蟹（汉阳大道店）"	"3.5"	"2"	"汉阳区五里墩街汉阳大道492号苏蟹阁"	"0"
"5344746"	"梅园宾馆自助餐厅"	"4.5"	"6317"	"硚口区解放大道体育馆1089-11号北（同济医院旁）"	"109"
"40061617"	"鱼友烤全鱼（虎泉时尚创意坊店）"	"4.3"	"5961"	"洪山区珞南街道虎泉街91附3号（虎泉创意坊二楼，地铁二号线虎泉站）"	"49"
"193982131"	"狼爱上羊音乐火锅（江汉路店）"	"4.9"	"100"	"江汉区江汉一路欧力新天地旁璇宫饭店2楼"	"71"
"5335418"	"玛格利塔（徐东平价店）"	"4.5"	"7903"	"洪山区徐东大街31号（徐东平价一楼）"	"20"
"6742130"	"大溪烤鱼（光谷店）"	"4.5"	"35623"	"洪山区光谷步行街意大利风情街5号楼五楼"	"56"
"50974697"	"和记鲶鱼（极地海洋世界店）"	"4.3"	"379"	"东西湖区金银潭极地海洋世界（麦当劳旁）"	"44"
"5547288"	"京滏山自助烤肉海鲜火锅（金滏山品牌升级店）（鲁巷广场购物中心店）"	"4"	"84802"	"洪山区珞喻路726号（鲁巷广场购物中心6层）"	"44"
"4891248"	"豪大大香鸡排（奥山世纪城店）"	"4.6"	"8839"	"青山区和平大道819号奥山世纪城3层（奇奇乐园大门）"	"12"
"195864525"	"梓川酒场•特色日料（光谷步行街二店）"	"5"	"32"	"洪山区光谷德意柏林风情街数码广场2楼（鹿小町烧肉小铺旁）"	"92"
"6005863"	"老渔翁鱼火锅（东西湖大道店）"	"4.5"	"1477"	"东西湖区东西湖大道6541号"	"38"
